GRG_ID	GeneID	Approved Symbol	Approved Name	Type	Previous Symbols	Synonyms	Gene Family Tag	Gene family description	Chromosome	Accession Numbers	Enzyme IDs	Entrez Gene ID	Pubmed IDs	RefSeq IDs	UniProt ID(supplied by UniProt)	taxonomy ID	taxonomy name
GRG_1	HGNC:318	AGA	aspartylglucosaminidase	Catabolic		ASRG			4q34.3	X55330	3.5.1.26	175		NM_000027	P20933	9606	Homo Sapiens (Human)
GRG_2	HGNC:714	ARSB	arylsulfatase B	Catabolic			ARS	Arylsulfatase family	5q14.1	M32373	3.1.6.1	411	2303452	NM_000046	P15848	9606	Homo Sapiens (Human)
GRG_3	HGNC:18967	EDEM1	ER degradation enhancer, mannosidase alpha-like 1	Catabolic		KIAA0212, EDEM			3p26.1	D86967		9695	12610306	NM_014674	Q92611	9606	Homo Sapiens (Human)
GRG_4	HGNC:15877	EDEM2	ER degradation enhancer, mannosidase alpha-like 2	Catabolic	C20orf49, C20orf31	FLJ10783, bA4204.1			20q11.22	AK001645		55741	15537790, 15579471	NM_018217	Q9BV94	9606	Homo Sapiens (Human)
GRG_5	HGNC:16787	EDEM3	ER degradation enhancer, mannosidase alpha-like 3	Catabolic	C1orf22				1q25	AF288393		80267	15537790, 15579471	NM_025191	Q9BZQ6	9606	Homo Sapiens (Human)
GRG_6	HGNC:24622	ENGASE	endo-beta-N-acetylglucosaminidase	Catabolic		FLJ21865			17q25.3	AF512564	3.2.1.96	64772	12114544, 18586680	NM_022759	Q8NFI3	9606	Homo Sapiens (Human)
GRG_7	HGNC:4006	FUCA1	fucosidase, alpha-L- 1, tissue	Catabolic					1p34	BC017338	3.2.1.51	2517	2803312	NM_000147	P04066	9606	Homo Sapiens (Human)
GRG_8	HGNC:4008	FUCA2	fucosidase, alpha-L- 2, plasma	Catabolic		MGC1314, dJ20N2.5			6q24	BC003060	3.2.1.51	2519	6590153	NM_032020	Q9BTY2	9606	Homo Sapiens (Human)
GRG_9	HGNC:4065	GAA	glucosidase, alpha; acid	Catabolic					17q25.2-q25.3		3.2.1.20	2548			P10253	9606	Homo Sapiens (Human)
GRG_10	HGNC:4115	GALC	galactosylceramidase	Catabolic					14q31	L23116	3.2.1.46	2581			P54803	9606	Homo Sapiens (Human)
GRG_11	HGNC:4122	GALNS	galactosamine (N-acetyl)-6-sulfate sulfatase	Catabolic		GAS, GALNAC6S	ARS	Arylsulfatase family	16q24.3	D17629	3.1.6.4	2588	1755850		P34059	9606	Homo Sapiens (Human)
GRG_12	HGNC:4138	GANAB	glucosidase, alpha; neutral AB	Catabolic		GluII, G2AN, KIAA0088			11q12.3	AF144074	3.2.1.20	23193	10764838, 6342981	NM_198334	Q14697	9606	Homo Sapiens (Human)
GRG_13	HGNC:4139	GANC	glucosidase, alpha; neutral C	Catabolic					15q15.2	AF545045	3.2.1.20	2595	6995030, 12370436	NM_198141	Q8TET4	9606	Homo Sapiens (Human)
GRG_14	HGNC:4177	GBA	glucosidase, beta, acid	Catabolic	GLUC	GBA1			1q22	M19285	3.2.1.21	2629	3359914	NM_000157	P04062	9606	Homo Sapiens (Human)
GRG_15	HGNC:18986	GBA2	glucosidase, beta (bile acid) 2	Catabolic	SPG46	KIAA1605, AD035, DKFZp762K054			9p13.2	AJ309567		57704	11489889, 23332916, 23332917	NM_020944	Q9HCG7	9606	Homo Sapiens (Human)
GRG_16	HGNC:19069	GBA3	glucosidase, beta, acid 3 (gene/pseudogene)	Catabolic		GLUC, KLrP			4p15.2	AB017913	3.2.1.21	57733	11389701		Q9H227	9606	Homo Sapiens (Human)
GRG_17	HGNC:4178	GBAP1	glucosidase, beta, acid pseudogene 1	Catabolic	GBAP		1q22	J03060		2630	NR_002188.2					9606	Homo Sapiens (Human)
GRG_18	HGNC:24862	MOGS	mannosyl-oligosaccharide glucosidase	Catabolic		GCS1, CWH41, DER7			2p13.1	X87237	3.2.1.106	7841	7635146, 8786151	NM_006302	Q13724	9606	Homo Sapiens (Human)
GRG_19	HGNC:4296	GLA	galactosidase, alpha	Catabolic		GALA			Xq21.3-q22	X16889	3.2.1.22	2717			P06280	9606	Homo Sapiens (Human)
GRG_20	HGNC:4298	GLB1	galactosidase, beta 1	Catabolic	ELNR1	EBP			3p22.3	M22590	3.2.1.23	2720	110522, 3143362	NM_000404	P16278	9606	Homo Sapiens (Human)
GRG_21	HGNC:28129	GLB1L	galactosidase, beta 1-like	Catabolic		MGC10771			2q36.1			79411	12975309	NM_024506	Q6UWU2	9606	Homo Sapiens (Human)
GRG_22	HGNC:4367	GM2A	GM2 ganglioside activator	Catabolic		SAP-3			5q33.1			2760	115863, 1915857	NM_000405	P17900	9606	Homo Sapiens (Human)
GRG_23	HGNC:4422	GNS	glucosamine (N-acetyl)-6-sulfatase	Catabolic					12q14		3.1.6.14	2799			P15586	9606	Homo Sapiens (Human)
GRG_24	HGNC:4459	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	Catabolic					6p22.1	L11701		2822	11072085	NM_001503	P80108	9606	Homo Sapiens (Human)
GRG_25	HGNC:4696	GUSB	glucuronidase, beta	Catabolic					7q11.21	M15182	3.2.1.31	2990	3468507	NM_000181	P08236	9606	Homo Sapiens (Human)
